file,batch_idx,task,path_ratio,path_length,chord_length,mean_endpoint_error,max_endpoint_error,mean_alignment,min_alignment,min_turning_cos
flow_000005_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.049237847328186,19.2888240814209,18.383651733398438,3.0347847938537598,4.858443260192871,0.9686533212661743,0.9480610489845276,0.8598763346672058
flow_000006_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0971826314926147,19.042346954345703,17.355676651000977,3.719130277633667,5.419991493225098,0.9422001838684082,0.8900582790374756,0.6456958651542664
flow_000006_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.041778326034546,16.610431671142578,15.944304466247559,2.3979780673980713,3.776350498199463,0.9747313261032104,0.9559926390647888,0.8391939997673035
flow_000007_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.097375750541687,17.203845977783203,15.677260398864746,3.3949737548828125,5.158063888549805,0.9452577829360962,0.9084625840187073,0.6600101590156555
flow_000007_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.0469962358474731,19.392955780029297,18.52246856689453,2.856657028198242,4.185205459594727,0.9714818000793457,0.9540959000587463,0.8324893116950989
flow_000008_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0911026000976562,18.120567321777344,16.607574462890625,3.537696361541748,5.640772819519043,0.9460097551345825,0.9054479598999023,0.6787679195404053
flow_000008_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.0364668369293213,16.60658073425293,16.02229881286621,2.406569242477417,4.119124889373779,0.9762954711914062,0.9653348326683044,0.8932989835739136
flow_000009_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.102043867111206,18.459945678710938,16.75064468383789,3.6817407608032227,5.281843185424805,0.9409376382827759,0.8951314091682434,0.6440127491950989
flow_000009_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.0359253883361816,17.90533447265625,17.284385681152344,2.5190839767456055,3.72461199760437,0.9767105579376221,0.9585446715354919,0.8631501793861389
flow_000010_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0878907442092896,17.31888198852539,15.91968822479248,3.2924022674560547,5.303125381469727,0.9485398530960083,0.9066799879074097,0.6804207563400269
flow_000010_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.0930372476577759,19.89805030822754,18.20436668395996,3.979968786239624,5.679200172424316,0.9412068724632263,0.8973793983459473,0.6846594214439392
flow_000011_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0996534824371338,18.622089385986328,16.934507369995117,3.6468935012817383,5.618867874145508,0.9449646472930908,0.8972988724708557,0.630471408367157
flow_000011_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.0624210834503174,17.408489227294922,16.385677337646484,3.1976847648620605,5.770073413848877,0.9585063457489014,0.9348938465118408,0.8620629906654358
flow_000012_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.1757011413574219,20.202951431274414,17.183748245239258,4.943685531616211,7.115742206573486,0.8992629647254944,0.7956323027610779,0.41073504090309143
flow_000012_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.1485469341278076,19.2043514251709,16.720563888549805,4.595038414001465,6.807676792144775,0.9084515571594238,0.832093358039856,0.5282177329063416
flow_000013_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0705783367156982,19.226314544677734,17.958810806274414,3.225968599319458,5.160226821899414,0.9589874148368835,0.9157759547233582,0.7099172472953796
flow_000013_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.1097553968429565,17.987873077392578,16.2088623046875,3.7482833862304688,5.651736736297607,0.9379376769065857,0.8971660733222961,0.6311454176902771
flow_000014_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0406546592712402,18.221181869506836,17.50934600830078,2.544188976287842,4.324921131134033,0.9751299619674683,0.9635040163993835,0.8645782470703125
flow_000014_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.089301347732544,17.651308059692383,16.204246520996094,3.425825834274292,5.581953525543213,0.9460428953170776,0.9024691581726074,0.6821868419647217
flow_000015_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0744283199310303,19.078380584716797,17.756772994995117,3.2483348846435547,4.493968963623047,0.9568554162979126,0.9142569303512573,0.7036078572273254
flow_000015_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.1071932315826416,18.496776580810547,16.706005096435547,3.6854443550109863,5.256113052368164,0.9355031251907349,0.8596552014350891,0.5810849666595459
